"企業産業中分類","企業数","0～4人","5～9人","10～19人","20～29人","30～49人","50～99人"," 100 　～299人"," 300  ～999人","1,000 ～1,999人","2,000 ～4,999人","  5,000人        以上"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　17 石油製品・石炭製品製造業","9.0","5.0","1.0","-","1.0","-","-","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　18 プラスチック製品製造業(別掲を除く)","86.0","27.0","16.0","16.0","8.0","6.0","5.0","8.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　19 ゴム製品製造業","15.0","1.0","1.0","5.0","3.0","2.0","1.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　20 なめし革・同製品・毛皮製造業","8.0","3.0","3.0","1.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　21 窯業・土石製品製造業","81.0","24.0","21.0","22.0","7.0","4.0","2.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　22 鉄鋼業","35.0","11.0","9.0","4.0","1.0","3.0","4.0","1.0","1.0","1.0","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　23 非鉄金属製造業","10.0","3.0","2.0","1.0","-","1.0","1.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　24 金属製品製造業","167.0","57.0","50.0","24.0","11.0","10.0","11.0","3.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　25 はん用機械器具製造業","51.0","16.0","11.0","9.0","4.0","4.0","4.0","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　26 生産用機械器具製造業","126.0","48.0","29.0","14.0","14.0","9.0","6.0","5.0","-","1.0","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業","13.0","4.0","2.0","1.0","1.0","2.0","-","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業","10.0","1.0","1.0","1.0","2.0","1.0","1.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業","48.0","15.0","10.0","3.0","5.0","7.0","5.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業","4.0","2.0","-","1.0","-","-","-","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業","24.0","7.0","4.0","7.0","2.0","-","1.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業","103.0","53.0","19.0","21.0","5.0","2.0","2.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　EZ 製造業 内格付不能_","8.0","5.0","2.0","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_","4.0","1.0","-","1.0","1.0","-","-","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業","2.0","1.0","-","-","-","-","-","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業","1.0","-","-","-","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業","1.0","-","-","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　FZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_","131.0","80.0","22.0","12.0","4.0","5.0","5.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業","6.0","3.0","3.0","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業","5.0","2.0","1.0","-","-","1.0","-","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業","77.0","51.0","11.0","9.0","-","2.0","2.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業","8.0","6.0","1.0","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業","34.0","17.0","6.0","2.0","4.0","2.0","3.0","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G2 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_","496.0","126.0","105.0","107.0","59.0","40.0","39.0","18.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業","1.0","-","-","-","-","-","1.0","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業","77.0","9.0","10.0","13.0","17.0","13.0","10.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業","334.0","80.0","80.0","78.0","37.0","22.0","27.0","8.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業","27.0","14.0","5.0","6.0","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業","15.0","6.0","3.0","1.0","2.0","2.0","-","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業","34.0","13.0","7.0","6.0","1.0","2.0","1.0","4.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　HZ 運輸業，郵便業 内格付不能_","8.0","4.0","-","3.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_","2842.0","1713.0","544.0","310.0","107.0","75.0","43.0","42.0","5.0","1.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業","3.0","1.0","1.0","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業","57.0","37.0","7.0","8.0","4.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業","356.0","192.0","79.0","48.0","16.0","9.0","7.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業","321.0","202.0","59.0","33.0","11.0","9.0","4.0","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業","152.0","81.0","30.0","24.0","5.0","3.0","6.0","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業","270.0","185.0","45.0","22.0","7.0","4.0","3.0","4.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業","4.0","3.0","-","-","-","-","-","-","-","-","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業","184.0","137.0","25.0","10.0","2.0","5.0","3.0","1.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業","343.0","169.0","61.0","54.0","23.0","13.0","7.0","13.0","1.0","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業","293.0","167.0","71.0","24.0","10.0","7.0","5.0","9.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業","743.0","451.0","148.0","81.0","27.0","23.0","7.0","5.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業","83.0","65.0","11.0","3.0","1.0","1.0","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　I1 卸売業 内格付不能_","17.0","12.0","3.0","1.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　I2 小売業 内格付不能_","16.0","11.0","4.0","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_","175.0","140.0","19.0","10.0","3.0","1.0","1.0","-","-","-","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　62 銀行業","1.0","-","-","-","-","-","-","-","-","-","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　63 協同組織金融業","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　64 貸金業，クレジットカード業等非預金信用機関","18.0","15.0","2.0","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　65 金融商品取引業，商品先物取引業","4.0","4.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　66 補助的金融業等","2.0","1.0","-","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)","150.0","120.0","17.0","8.0","3.0","1.0","1.0","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　JZ 金融業，保険業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_","821.0","729.0","51.0","24.0","7.0","4.0","2.0","3.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業","178.0","151.0","15.0","7.0","2.0","1.0","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業","552.0","515.0","22.0","7.0","4.0","2.0","-","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_","10.0","10.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　K1 不動産業 内格付不能_　　　70 物品賃貸業","81.0","53.0","14.0","10.0","1.0","1.0","1.0","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_","348.0","244.0","58.0","26.0","7.0","9.0","2.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　71 学術・開発研究機関","2.0","2.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　72 専門サービス業(他に分類されないもの)","104.0","80.0","14.0","6.0","1.0","2.0","1.0","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　73 広告業","20.0","11.0","4.0","4.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　L 学術研究，専門・技術サービス業_　　　74 技術サービス業(他に分類されないもの)","221.0","150.0","40.0","16.0","6.0","6.0","1.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　LZ 学術研究，専門・技術サービス業 内格付不能_","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_","484.0","160.0","121.0","86.0","33.0","47.0","20.0","9.0","8.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　75 宿泊業","151.0","50.0","42.0","25.0","14.0","10.0","5.0","2.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　76 飲食店","288.0","104.0","71.0","53.0","12.0","30.0","9.0","6.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　M 宿泊業，飲食サービス業_　　　77 持ち帰り・配達飲食サービス業","40.0","4.0","7.0","8.0","5.0","7.0","6.0","1.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　M2 飲食店，持ち帰り・配達飲食サービス業 内格付不能_","5.0","2.0","1.0","-","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_","339.0","149.0","61.0","64.0","21.0","25.0","13.0","6.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　78 洗濯・理容・美容・浴場業","133.0","63.0","21.0","23.0","7.0","11.0","6.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　79 その他の生活関連サービス業","95.0","55.0","15.0","14.0","5.0","2.0","3.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　N 生活関連サービス業，娯楽業_　　　80 娯楽業","107.0","30.0","23.0","27.0","9.0","11.0","4.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　NZ 生活関連サービス業，娯楽業 内格付不能_","4.0","1.0","2.0","-","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　O 教育，学習支援業_","108.0","58.0","17.0","14.0","9.0","4.0","4.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　O 教育，学習支援業_　　　81 学校教育","3.0","1.0","-","1.0","-","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　O 教育，学習支援業_　　　82 その他の教育，学習支援業","105.0","57.0","17.0","13.0","9.0","3.0","4.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　P 医療，福祉_","274.0","59.0","65.0","70.0","32.0","30.0","13.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　P 医療，福祉_　　　83 医療業","52.0","24.0","14.0","8.0","2.0","3.0","1.0","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　P 医療，福祉_　　　84 保健衛生","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　P 医療，福祉_　　　85 社会保険・社会福祉・介護事業","220.0","34.0","51.0","61.0","30.0","27.0","12.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　PZ 医療，福祉 内格付不能_","2.0","1.0","-","1.0","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　Q 複合サービス事業_","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　Q 複合サービス事業_　　　86 郵便局","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　Q 複合サービス事業_　　　87 協同組合(他に分類されないもの)","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_","579.0","272.0","138.0","60.0","30.0","47.0","19.0","10.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　88 廃棄物処理業","141.0","65.0","45.0","21.0","5.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　89 自動車整備業","140.0","84.0","40.0","11.0","5.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　90 機械等修理業(別掲を除く)","38.0","27.0","6.0","-","1.0","3.0","-","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　91 職業紹介・労働者派遣業","40.0","14.0","7.0","5.0","5.0","3.0","5.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　92 その他の事業サービス業","189.0","65.0","31.0","21.0","13.0","34.0","14.0","8.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　93 政治・経済・文化団体","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　94 宗教","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　R サービス業(他に分類されないもの)_　　　95 その他のサービス業","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　R1 サービス業(政治・経済・文化団体、宗教)内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　R2 サービス業(政治・経済・文化団体、宗教を除く)内格付不能_","30.0","16.0","9.0","2.0","1.0","2.0","-","-","-","-","-","-"
