"産業分類","事業所数_計","事業所数_従業員規模_2人以下","事業所数_従業員規模_3～4人","事業所数_従業員規模_5～9人","事業所数_従業員規模_10～19人","事業所数_従業員規模_20～29人","事業所数_従業員規模_30～49人","事業所数_従業員規模_50～99人","事業所数_従業員規模_100人以上","従業者数(人)","年間商品販 売 額(百万円)","商　品手持額(百万円)","売場面積(㎡)"
"5512_荒物卸売業","34.0","10.0","11.0","7.0","3.0","2.0","1.0","-","-","228.0","7920.0","1431.0","-"
"5513_畳卸売業","2.0","2.0","-","-","-","-","-","-","-","3.0","X","X","-"
"5514_室内装飾繊維品卸売業","9.0","1.0","4.0","2.0","-","2.0","-","-","-","76.0","1787.0","534.0","-"
"5515_陶磁器・ガラス器卸売業","6.0","5.0","1.0","-","-","-","-","-","-","11.0","276.0","18.0","-"
"5519_その他のじゅう器卸売業","26.0","17.0","4.0","5.0","-","-","-","-","-","74.0","X","X","-"
"552_医薬品・化粧品等卸売業","147.0","57.0","30.0","23.0","21.0","8.0","4.0","4.0","-","1213.0","137817.0","3622.0","-"
"5521_医薬品卸売業","44.0","2.0","2.0","15.0","15.0","5.0","3.0","2.0","-","683.0","113888.0","2359.0","-"
"5522_医療用品卸売業","18.0","6.0","6.0","4.0","1.0","1.0","-","-","-","94.0","2542.0","103.0","-"
"5523_化粧品卸売業","71.0","42.0","18.0","3.0","4.0","2.0","1.0","1.0","-","323.0","14398.0","994.0","-"
"5524_合成洗剤卸売業","14.0","7.0","4.0","1.0","1.0","-","-","1.0","-","113.0","6988.0","166.0","-"
"553_紙・紙製品卸売業","36.0","9.0","12.0","7.0","6.0","2.0","-","-","-","214.0","9098.0","429.0","-"
"5531_紙卸売業","12.0","3.0","4.0","1.0","4.0","-","-","-","-","76.0","3703.0","279.0","-"
"5532_紙製品卸売業","24.0","6.0","8.0","6.0","2.0","2.0","-","-","-","138.0","5395.0","150.0","-"
"559_他に分類されない卸売業","217.0","77.0","62.0","51.0","19.0","3.0","1.0","2.0","2.0","1864.0","125614.0","6500.0","-"
"5591_金物卸売業","33.0","10.0","20.0","3.0","-","-","-","-","-","101.0","1501.0","417.0","-"
"5592_肥料・飼料卸売業","13.0","3.0","3.0","6.0","1.0","-","-","-","-","73.0","1932.0","105.0","-"
"5593_スポーツ用品卸売業","3.0","1.0","1.0","1.0","-","-","-","-","-","14.0","352.0","41.0","-"
"5594_娯楽用品・がん具卸売業","3.0","-","1.0","-","2.0","-","-","-","-","26.0","1628.0","0.0","-"
"5595_たばこ卸売業","7.0","3.0","-","2.0","1.0","-","1.0","-","-","59.0","5569.0","12.0","-"
"5596_ジュエリー製品卸売業","5.0","4.0","-","1.0","-","-","-","-","-","10.0","117.0","31.0","-"
"5597_書籍・雑誌卸売業","8.0","3.0","1.0","3.0","1.0","-","-","-","-","36.0","1104.0","49.0","-"
"5598_代理商，仲立業","5.0","-","3.0","1.0","1.0","-","-","-","-","25.0","29.0","-","-"
"5599_他に分類されないその他の卸売業","140.0","53.0","33.0","34.0","13.0","3.0","-","2.0","2.0","1520.0","113383.0","5845.0","-"
"_小        売        業        計","8783.0","4856.0","1906.0","1133.0","529.0","155.0","101.0","73.0","30.0","45624.0","788729.0","78270.0","1143450.0"
"56_各種商品小売業","27.0","6.0","3.0","2.0","3.0","-","-","1.0","12.0","2553.0","79796.0","7727.0","137926.0"
"561_百貨店，総合スーパー","13.0","-","-","-","-","-","-","1.0","12.0","2485.0","78664.0","7509.0","135126.0"
"569_その他の各種商品小売業（従業者が常時50人未満のもの）","14.0","6.0","3.0","2.0","3.0","-","-","-","-","68.0","1132.0","218.0","2800.0"
"57_織物・衣服・身の回り品小売業","1051.0","653.0","225.0","119.0","40.0","5.0","9.0","-","-","3408.0","39869.0","8178.0","132937.0"
"571_呉服・服地・寝具小売業","183.0","135.0","34.0","11.0","1.0","1.0","1.0","-","-","488.0","3360.0","1452.0","14599.0"
"5711_呉服・服地小売業","103.0","69.0","24.0","7.0","1.0","1.0","1.0","-","-","319.0","2412.0","1117.0","8660.0"
"5712_寝具小売業","80.0","66.0","10.0","4.0","-","-","-","-","-","169.0","948.0","335.0","5939.0"
"572_男子服小売業","106.0","57.0","20.0","23.0","3.0","1.0","2.0","-","-","438.0","6194.0","1279.0","22365.0"
"573_婦人・子供服小売業","478.0","293.0","116.0","47.0","17.0","2.0","3.0","-","-","1458.0","18295.0","3111.0","55602.0"
"5731_婦人服小売業","441.0","272.0","110.0","38.0","16.0","2.0","3.0","-","-","1329.0","16523.0","2821.0","48078.0"
"5732_子供服小売業","37.0","21.0","6.0","9.0","1.0","-","-","-","-","129.0","1773.0","290.0","7524.0"
"574_靴・履物小売業","64.0","32.0","14.0","17.0","1.0","-","-","-","-","214.0","2450.0","740.0","8445.0"
"5741_靴小売業","56.0","26.0","12.0","17.0","1.0","-","-","-","-","199.0","2429.0","729.0","8175.0"
"5742_履物小売業（靴を除く）","8.0","6.0","2.0","-","-","-","-","-","-","15.0","20.0","11.0","270.0"
"579_その他の織物・衣服・身の回り品小売業","220.0","136.0","41.0","21.0","18.0","1.0","3.0","-","-","810.0","9571.0","1596.0","31926.0"
"5791_かばん・袋物小売業","19.0","9.0","8.0","2.0","-","-","-","-","-","55.0","696.0","198.0","1499.0"
"5792_下着類小売業","53.0","30.0","5.0","4.0","13.0","1.0","-","-","-","271.0","2926.0","424.0","15637.0"
"5793_洋品雑貨・小間物小売業","113.0","78.0","17.0","13.0","2.0","-","3.0","-","-","373.0","4882.0","784.0","10957.0"
"5799_他に分類されない織物・衣服・身の回り品小売業","35.0","19.0","11.0","2.0","3.0","-","-","-","-","111.0","1066.0","190.0","3833.0"
"58_飲食料品小売業","2852.0","1667.0","546.0","261.0","184.0","67.0","56.0","54.0","17.0","18463.0","266987.0","11538.0","347341.0"
"581_各種食料品小売業","305.0","120.0","43.0","26.0","8.0","7.0","34.0","50.0","17.0","7815.0","148934.0","6776.0","196857.0"
"582_野菜・果実小売業","211.0","117.0","56.0","22.0","9.0","6.0","1.0","-","-","820.0","9043.0","263.0","16946.0"
"5821_野菜小売業","111.0","60.0","28.0","13.0","6.0","4.0","-","-","-","435.0","4694.0","151.0","9304.0"
"5822_果実小売業","100.0","57.0","28.0","9.0","3.0","2.0","1.0","-","-","385.0","4349.0","111.0","7642.0"
"583_食肉小売業","117.0","51.0","44.0","14.0","8.0","-","-","-","-","422.0","4564.0","107.0","4923.0"
"5831_食肉小売業（卵，鳥肉を除く）","92.0","34.0","39.0","11.0","8.0","-","-","-","-","354.0","4138.0","105.0","4209.0"
"5832_卵・鳥肉小売業","25.0","17.0","5.0","3.0","-","-","-","-","-","68.0","425.0","2.0","714.0"
"584_鮮魚小売業","174.0","127.0","32.0","12.0","1.0","1.0","1.0","-","-","468.0","3355.0","82.0","12980.0"
"585_酒小売業","521.0","403.0","92.0","22.0","3.0","-","1.0","-","-","1191.0","14435.0","1179.0","20575.0"
"586_菓子・パン小売業","480.0","258.0","110.0","73.0","29.0","5.0","4.0","1.0","-","1940.0","11819.0","564.0","20567.0"
"5861_菓子小売業（製造小売）","193.0","72.0","64.0","36.0","16.0","2.0","3.0","-","-","915.0","6042.0","359.0","7434.0"
"5862_菓子小売業（製造小売でないもの）","196.0","146.0","24.0","17.0","6.0","2.0","-","1.0","-","598.0","4229.0","174.0","9917.0"
"5863_パン小売業（製造小売）","65.0","20.0","20.0","18.0","5.0","1.0","1.0","-","-","351.0","1289.0","20.0","2244.0"
"5864_パン小売業（製造小売でないもの）","26.0","20.0","2.0","2.0","2.0","-","-","-","-","76.0","259.0","11.0","972.0"
"589_その他の飲食料品小売業","1044.0","591.0","169.0","92.0","126.0","48.0","15.0","3.0","-","5807.0","74837.0","2567.0","74493.0"
"5891_コンビニエンスストア（飲食料品を中心とするものに限る）","181.0","17.0","5.0","22.0","98.0","35.0","3.0","1.0","-","2628.0","32799.0","1069.0","20437.0"
"5892_牛乳小売業","99.0","61.0","21.0","10.0","4.0","1.0","1.0","1.0","-","407.0","2593.0","26.0","120.0"
"5893_飲料小売業（別掲を除く）","112.0","93.0","11.0","3.0","1.0","2.0","2.0","-","-","342.0","7080.0","225.0","5678.0"
"5894_茶類小売業","28.0","14.0","10.0","4.0","-","-","-","-","-","81.0","330.0","36.0","1541.0"
"5895_料理品小売業","109.0","51.0","27.0","21.0","5.0","1.0","4.0","-","-","556.0","4459.0","114.0","6330.0"
"5896_米穀類小売業","258.0","202.0","46.0","10.0","-","-","-","-","-","541.0","3354.0","472.0","9344.0"
"5897_豆腐・かまぼこ等加工食品小売業","51.0","27.0","15.0","8.0","1.0","-","-","-","-","155.0","1008.0","26.0","3584.0"
"5898_乾物小売業","65.0","46.0","10.0","5.0","1.0","2.0","1.0","-","-","236.0","3784.0","150.0","6480.0"
"5899_他に分類されない飲食料品小売業","141.0","80.0","24.0","9.0","16.0","7.0","4.0","1.0","-","861.0","19430.0","448.0","20979.0"
"59_機械器具小売業","1192.0","574.0","263.0","193.0","116.0","30.0","12.0","4.0","-","5997.0","150002.0","18783.0","115695.0"
"591_自動車小売業","625.0","255.0","129.0","119.0","92.0","22.0","5.0","3.0","-","3737.0","96249.0","13368.0","36650.0"
"5911_自動車（新車）小売業","234.0","38.0","42.0","56.0","75.0","16.0","4.0","3.0","-","2284.0","66619.0","9983.0","-"
"5912_中古自動車小売業","155.0","73.0","30.0","35.0","13.0","4.0","-","-","-","693.0","19034.0","1881.0","-"
"5913_自動車部分品・附属品小売業","100.0","45.0","31.0","18.0","3.0","2.0","1.0","-","-","443.0","7691.0","988.0","26266.0"
"5914_二輪自動車小売業（原動機付自転車を含む）","136.0","99.0","26.0","10.0","1.0","-","-","-","-","317.0","2905.0","516.0","10384.0"
"592_自転車小売業","64.0","52.0","7.0","4.0","1.0","-","-","-","-","144.0","752.0","114.0","5075.0"
"593_機械器具小売業（自動車，自転車を除く）","503.0","267.0","127.0","70.0","23.0","8.0","7.0","1.0","-","2116.0","53000.0","5301.0","73970.0"
"5931_電気機械器具小売業（中古品を除く）","443.0","242.0","110.0","59.0","16.0","8.0","7.0","1.0","-","1847.0","49041.0","5054.0","70141.0"
"5932_電気事務機械器具小売業（中古品を除く）","16.0","6.0","3.0","6.0","1.0","-","-","-","-","78.0","1165.0","67.0","893.0"
"5933_中古電気製品小売業","7.0","3.0","3.0","1.0","-","-","-","-","-","20.0","128.0","18.0","1380.0"
"5939_その他の機械器具小売業","37.0","16.0","11.0","4.0","6.0","-","-","-","-","171.0","2667.0","162.0","1556.0"
"60_その他の小売業","3390.0","1774.0","829.0","529.0","173.0","50.0","23.0","11.0","1.0","14164.0","230072.0","30540.0","409551.0"
"601_家具・建具・畳小売業","231.0","149.0","47.0","23.0","7.0","4.0","1.0","-","-","755.0","8954.0","2228.0","52998.0"
"6011_家具小売業","72.0","33.0","19.0","11.0","5.0","3.0","1.0","-","-","370.0","6096.0","1045.0","45946.0"
"6012_建具小売業","49.0","39.0","8.0","1.0","1.0","-","-","-","-","103.0","608.0","37.0","-"
"6013_畳小売業","58.0","50.0","4.0","4.0","-","-","-","-","-","106.0","466.0","89.0","-"
"6014_宗教用具小売業","52.0","27.0","16.0","7.0","1.0","1.0","-","-","-","176.0","1783.0","1058.0","7052.0"
"602_じゅう器小売業","146.0","102.0","29.0","8.0","7.0","-","-","-","-","402.0","2912.0","911.0","14433.0"
"6021_金物小売業","76.0","50.0","21.0","4.0","1.0","-","-","-","-","195.0","1633.0","595.0","7332.0"
"6022_荒物小売業","31.0","21.0","2.0","2.0","6.0","-","-","-","-","126.0","900.0","131.0","4165.0"
"6023_陶磁器・ガラス器小売業","30.0","26.0","3.0","1.0","-","-","-","-","-","57.0","152.0","135.0","1952.0"
"6029_他に分類されないじゅう器小売業","9.0","5.0","3.0","1.0","-","-","-","-","-","24.0","227.0","50.0","984.0"
"603_医薬品・化粧品小売業","580.0","271.0","153.0","121.0","30.0","4.0","1.0","-","-","2237.0","36999.0","3875.0","32176.0"
"6031_ドラッグストア","62.0","30.0","20.0","4.0","7.0","1.0","-","-","-","265.0","4029.0","678.0","7964.0"
"6032_医薬品小売業（調剤薬局を除く）","124.0","101.0","13.0","8.0","2.0","-","-","-","-","272.0","2360.0","519.0","5314.0"
"6033_調剤薬局","237.0","39.0","72.0","103.0","19.0","3.0","1.0","-","-","1334.0","27449.0","1949.0","11055.0"
"6034_化粧品小売業","157.0","101.0","48.0","6.0","2.0","-","-","-","-","366.0","3162.0","729.0","7843.0"
"604_農耕用品小売業","176.0","83.0","61.0","26.0","6.0","-","-","-","-","579.0","11090.0","1528.0","24231.0"
"6041_農業用機械器具小売業","76.0","26.0","30.0","16.0","4.0","-","-","-","-","293.0","5147.0","771.0","11823.0"
"6042_苗・種子小売業","31.0","15.0","13.0","3.0","-","-","-","-","-","89.0","536.0","71.0","3021.0"
"6043_肥料・飼料小売業","69.0","42.0","18.0","7.0","2.0","-","-","-","-","197.0","5407.0","685.0","9387.0"
"605_燃料小売業","558.0","155.0","212.0","152.0","31.0","5.0","2.0","1.0","-","2611.0","82640.0","3390.0","6471.0"
"6051_ガソリンスタンド","316.0","67.0","116.0","111.0","21.0","1.0","-","-","-","1493.0","65497.0","2254.0","-"
"6052_燃料小売業（ガソリンスタンドを除く）","242.0","88.0","96.0","41.0","10.0","4.0","2.0","1.0","-","1118.0","17143.0","1136.0","6471.0"
"606_書籍・文房具小売業","304.0","105.0","51.0","49.0","56.0","26.0","10.0","6.0","1.0","2951.0","20917.0","3351.0","36717.0"
"6061_書籍・雑誌小売業（古本を除く）","88.0","30.0","21.0","22.0","8.0","4.0","1.0","2.0","-","592.0","9739.0","2919.0","31132.0"
"6062_古本小売業","6.0","3.0","1.0","1.0","1.0","-","-","-","-","27.0","132.0","47.0","1165.0"
"6063_新聞小売業","127.0","14.0","8.0","22.0","47.0","22.0","9.0","4.0","1.0","2147.0","9699.0","84.0","145.0"
"6064_紙・文房具小売業","83.0","58.0","21.0","4.0","-","-","-","-","-","185.0","1348.0","301.0","4275.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","203.0","127.0","42.0","20.0","10.0","2.0","1.0","1.0","-","753.0","9842.0","3013.0","25236.0"
"6071_スポーツ用品小売業","123.0","80.0","24.0","14.0","3.0","1.0","-","1.0","-","418.0","6367.0","2121.0","14900.0"
"6072_がん具・娯楽用品小売業","59.0","34.0","14.0","5.0","4.0","1.0","1.0","-","-","255.0","3032.0","717.0","8878.0"
"6073_楽器小売業","21.0","13.0","4.0","1.0","3.0","-","-","-","-","80.0","443.0","176.0","1458.0"
"608_写真機・時計・眼鏡小売業","180.0","114.0","38.0","24.0","2.0","1.0","1.0","-","-","547.0","6974.0","2125.0","12727.0"
"6081_写真機・写真材料小売業","17.0","10.0","5.0","2.0","-","-","-","-","-","51.0","454.0","68.0","1753.0"
"6082_時計・眼鏡・光学機械小売業","163.0","104.0","33.0","22.0","2.0","1.0","1.0","-","-","496.0","6520.0","2057.0","10974.0"
"609_他に分類されない小売業","1012.0","668.0","196.0","106.0","24.0","8.0","7.0","3.0","-","3329.0","49742.0","10118.0","204562.0"
"6091_ホームセンター","61.0","2.0","14.0","19.0","12.0","6.0","5.0","3.0","-","906.0","30251.0","6524.0","141010.0"
"6092_たばこ・喫煙具専門小売業","258.0","250.0","8.0","-","-","-","-","-","-","372.0","1298.0","142.0","4621.0"
"6093_花・植木小売業","212.0","121.0","63.0","26.0","1.0","-","1.0","-","-","610.0","3243.0","201.0","11603.0"
"6094_建築材料小売業","44.0","25.0","13.0","6.0","-","-","-","-","-","124.0","1801.0","258.0","6640.0"
"6095_ジュエリー製品小売業","48.0","20.0","18.0","7.0","3.0","-","-","-","-","166.0","1969.0","1101.0","4023.0"
"6096_ペット・ペット用品小売業","25.0","17.0","6.0","2.0","-","-","-","-","-","56.0","755.0","53.0","1867.0"
"6097_骨とう品小売業","11.0","8.0","3.0","-","-","-","-","-","-","22.0","127.0","40.0","630.0"
"6098_中古品小売業（骨とう品を除く）","19.0","12.0","1.0","2.0","3.0","1.0","-","-","-","95.0","767.0","180.0","5307.0"
"6099_他に分類されないその他の小売業","334.0","213.0","70.0","44.0","5.0","1.0","1.0","-","-","978.0","9532.0","1618.0","28861.0"
"61_無店舗小売業","271.0","182.0","40.0","29.0","13.0","3.0","1.0","3.0","-","1039.0","22004.0","1504.0","-"
"611_通信販売・訪問販売小売業","190.0","120.0","29.0","25.0","10.0","2.0","1.0","3.0","-","820.0","16765.0","1315.0","-"
"6111_無店舗小売業（各種商品小売）","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6112_無店舗小売業（織物・衣服・身の回り品小売）","14.0","10.0","1.0","1.0","-","1.0","-","1.0","-","129.0","1290.0","88.0","-"
"6113_無店舗小売業（飲食料品小売）","71.0","57.0","7.0","3.0","3.0","-","1.0","-","-","163.0","5467.0","138.0","-"
