"産業小分類，従業者規模","総数_事業所数","総数_従業者数(注)","総数_従業者数(注)_男","総数_従業者数(注)_女","総数_従業者数(注)_うち常用雇用者(注)","総数_従業者数(注)_うち常用雇用者(注)_男","総数_従業者数(注)_うち常用雇用者(注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_うち常用雇用者(注)","個人_従業者数(注)_うち常用雇用者(注)_男","個人_従業者数(注)_うち常用雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_うち常用雇用者(注)","法人_従業者数(注)_うち常用雇用者(注)_男","法人_従業者数(注)_うち常用雇用者(注)_女","法人_会社_事業所数","法人_会社_従業者数(注)","法人_会社_従業者数(注)_男","法人_会社_従業者数(注)_女","法人_会社_従業者数(注)_うち常用雇用者(注)","法人_会社_従業者数(注)_うち常用雇用者(注)_男","法人_会社_従業者数(注)_うち常用雇用者(注)_女","法人_会社以外の法人_事業所数","法人_会社以外の法人_従業者数(注)","法人_会社以外の法人_従業者数(注)_男","法人_会社以外の法人_従業者数(注)_女","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_男","法人_会社以外の法人_従業者数(注)_うち常用雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_うち常用雇用者(注)","法人でない団体_従業者数(注)_うち常用雇用者(注)_男","法人でない団体_従業者数(注)_うち常用雇用者(注)_女"
"A～R 全産業(S公務を除く)__(再掲)20人以下","45705.0","189942.0","99707.0","90084.0","119277.0","58721.0","60411.0","27770.0","78068.0","36313.0","41740.0","34227.0","12157.0","22059.0","17687.0","110913.0","62964.0","47813.0","84384.0","46311.0","37939.0","14264.0","93337.0","54816.0","38387.0","71012.0","40922.0","29958.0","3423.0","17576.0","8148.0","9426.0","13372.0","5389.0","7981.0","248.0","961.0","430.0","531.0","666.0","253.0","413.0"
"　A～B 農林漁業_","238.0","2919.0","2088.0","831.0","1684.0","1136.0","548.0","-","-","-","-","-","-","-","229.0","2790.0","2007.0","783.0","1638.0","1097.0","541.0","114.0","1237.0","687.0","550.0","858.0","479.0","379.0","115.0","1553.0","1320.0","233.0","780.0","618.0","162.0","9.0","129.0","81.0","48.0","46.0","39.0","7.0"
"　A～B 農林漁業__1～4人","90.0","202.0","154.0","48.0","87.0","52.0","35.0","-","-","-","-","-","-","-","88.0","197.0","150.0","47.0","85.0","51.0","34.0","42.0","97.0","75.0","22.0","45.0","32.0","13.0","46.0","100.0","75.0","25.0","40.0","19.0","21.0","2.0","5.0","4.0","1.0","2.0","1.0","1.0"
"　A～B 農林漁業__5～9人","56.0","393.0","250.0","143.0","271.0","179.0","92.0","-","-","-","-","-","-","-","55.0","386.0","244.0","142.0","265.0","174.0","91.0","29.0","206.0","121.0","85.0","137.0","85.0","52.0","26.0","180.0","123.0","57.0","128.0","89.0","39.0","1.0","7.0","6.0","1.0","6.0","5.0","1.0"
"　A～B 農林漁業__10～19人","49.0","620.0","399.0","221.0","351.0","221.0","130.0","-","-","-","-","-","-","-","45.0","562.0","344.0","218.0","315.0","188.0","127.0","31.0","389.0","214.0","175.0","244.0","145.0","99.0","14.0","173.0","130.0","43.0","71.0","43.0","28.0","4.0","58.0","55.0","3.0","36.0","33.0","3.0"
"　A～B 農林漁業__20～29人","17.0","420.0","303.0","117.0","217.0","151.0","66.0","-","-","-","-","-","-","-","16.0","391.0","294.0","97.0","215.0","151.0","64.0","4.0","91.0","61.0","30.0","74.0","45.0","29.0","12.0","300.0","233.0","67.0","141.0","106.0","35.0","1.0","29.0","9.0","20.0","2.0","-","2.0"
"　A～B 農林漁業__30～49人","17.0","672.0","530.0","142.0","338.0","253.0","85.0","-","-","-","-","-","-","-","16.0","642.0","523.0","119.0","338.0","253.0","85.0","5.0","205.0","104.0","101.0","141.0","72.0","69.0","11.0","437.0","419.0","18.0","197.0","181.0","16.0","1.0","30.0","7.0","23.0","-","-","-"
"　A～B 農林漁業__50～99人","8.0","491.0","418.0","73.0","300.0","247.0","53.0","-","-","-","-","-","-","-","8.0","491.0","418.0","73.0","300.0","247.0","53.0","2.0","128.0","78.0","50.0","97.0","67.0","30.0","6.0","363.0","340.0","23.0","203.0","180.0","23.0","-","-","-","-","-","-","-"
"　A～B 農林漁業__100人以上","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","1.0","121.0","34.0","87.0","120.0","33.0","87.0","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業__出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業__(再掲)5人以下","100.0","252.0","189.0","63.0","127.0","81.0","46.0","-","-","-","-","-","-","-","98.0","247.0","185.0","62.0","125.0","80.0","45.0","47.0","122.0","92.0","30.0","66.0","45.0","21.0","51.0","125.0","93.0","32.0","59.0","35.0","24.0","2.0","5.0","4.0","1.0","2.0","1.0","1.0"
"　A～B 農林漁業__(再掲)20人以下","196.0","1235.0","818.0","417.0","725.0","463.0","262.0","-","-","-","-","-","-","-","189.0","1165.0","753.0","412.0","681.0","424.0","257.0","103.0","712.0","425.0","287.0","442.0","273.0","169.0","86.0","453.0","328.0","125.0","239.0","151.0","88.0","7.0","70.0","65.0","5.0","44.0","39.0","5.0"
"　A 農業，林業_","177.0","2302.0","1616.0","686.0","1288.0","822.0","466.0","-","-","-","-","-","-","-","170.0","2197.0","1557.0","640.0","1265.0","804.0","461.0","82.0","946.0","489.0","457.0","683.0","336.0","347.0","88.0","1251.0","1068.0","183.0","582.0","468.0","114.0","7.0","105.0","59.0","46.0","23.0","18.0","5.0"
"　A 農業，林業__1～4人","62.0","146.0","110.0","36.0","59.0","35.0","24.0","-","-","-","-","-","-","-","60.0","141.0","106.0","35.0","57.0","34.0","23.0","27.0","66.0","48.0","18.0","30.0","20.0","10.0","33.0","75.0","58.0","17.0","27.0","14.0","13.0","2.0","5.0","4.0","1.0","2.0","1.0","1.0"
"　A 農業，林業__5～9人","45.0","305.0","188.0","117.0","211.0","135.0","76.0","-","-","-","-","-","-","-","45.0","305.0","188.0","117.0","211.0","135.0","76.0","24.0","165.0","96.0","69.0","109.0","65.0","44.0","21.0","140.0","92.0","48.0","102.0","70.0","32.0","-","-","-","-","-","-","-"
"　A 農業，林業__10～19人","37.0","473.0","304.0","169.0","261.0","151.0","110.0","-","-","-","-","-","-","-","34.0","432.0","265.0","167.0","242.0","134.0","108.0","22.0","283.0","153.0","130.0","186.0","100.0","86.0","12.0","149.0","112.0","37.0","56.0","34.0","22.0","3.0","41.0","39.0","2.0","19.0","17.0","2.0"
"　A 農業，林業__20～29人","10.0","249.0","149.0","100.0","117.0","68.0","49.0","-","-","-","-","-","-","-","9.0","220.0","140.0","80.0","115.0","68.0","47.0","2.0","46.0","23.0","23.0","40.0","18.0","22.0","7.0","174.0","117.0","57.0","75.0","50.0","25.0","1.0","29.0","9.0","20.0","2.0","-","2.0"
"　A 農業，林業__30～49人","16.0","637.0","496.0","141.0","312.0","228.0","84.0","-","-","-","-","-","-","-","15.0","607.0","489.0","118.0","312.0","228.0","84.0","5.0","205.0","104.0","101.0","141.0","72.0","69.0","10.0","402.0","385.0","17.0","171.0","156.0","15.0","1.0","30.0","7.0","23.0","-","-","-"
"　A 農業，林業__50～99人","6.0","371.0","335.0","36.0","208.0","172.0","36.0","-","-","-","-","-","-","-","6.0","371.0","335.0","36.0","208.0","172.0","36.0","1.0","60.0","31.0","29.0","57.0","28.0","29.0","5.0","311.0","304.0","7.0","151.0","144.0","7.0","-","-","-","-","-","-","-"
"　A 農業，林業__100人以上","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","1.0","121.0","34.0","87.0","120.0","33.0","87.0","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業__出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業__(再掲)5人以下","71.0","191.0","142.0","49.0","97.0","62.0","35.0","-","-","-","-","-","-","-","69.0","186.0","138.0","48.0","95.0","61.0","34.0","32.0","91.0","65.0","26.0","51.0","33.0","18.0","37.0","95.0","73.0","22.0","44.0","28.0","16.0","2.0","5.0","4.0","1.0","2.0","1.0","1.0"
"　A 農業，林業__(再掲)20人以下","144.0","924.0","602.0","322.0","531.0","321.0","210.0","-","-","-","-","-","-","-","139.0","878.0","559.0","319.0","510.0","303.0","207.0","73.0","514.0","297.0","217.0","325.0","185.0","140.0","66.0","364.0","262.0","102.0","185.0","118.0","67.0","5.0","46.0","43.0","3.0","21.0","18.0","3.0"
"　A 農業，林業_　01 農業_","127.0","1510.0","875.0","635.0","888.0","462.0","426.0","-","-","-","-","-","-","-","122.0","1421.0","831.0","590.0","868.0","446.0","422.0","62.0","837.0","402.0","435.0","604.0","272.0","332.0","60.0","584.0","429.0","155.0","264.0","174.0","90.0","5.0","89.0","44.0","45.0","20.0","16.0","4.0"
"　A 農業，林業_　01 農業__1～4人","39.0","93.0","69.0","24.0","42.0","23.0","19.0","-","-","-","-","-","-","-","38.0","90.0","67.0","23.0","40.0","22.0","18.0","16.0","38.0","27.0","11.0","17.0","10.0","7.0","22.0","52.0","40.0","12.0","23.0","12.0","11.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0"
"　A 農業，林業_　01 農業__5～9人","37.0","257.0","150.0","107.0","178.0","111.0","67.0","-","-","-","-","-","-","-","37.0","257.0","150.0","107.0","178.0","111.0","67.0","18.0","128.0","68.0","60.0","81.0","45.0","36.0","19.0","129.0","82.0","47.0","97.0","66.0","31.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業__10～19人","31.0","391.0","229.0","162.0","215.0","110.0","105.0","-","-","-","-","-","-","-","29.0","364.0","203.0","161.0","199.0","95.0","104.0","19.0","239.0","115.0","124.0","148.0","66.0","82.0","10.0","125.0","88.0","37.0","51.0","29.0","22.0","2.0","27.0","26.0","1.0","16.0","15.0","1.0"
"　A 農業，林業_　01 農業__20～29人","8.0","199.0","102.0","97.0","96.0","50.0","46.0","-","-","-","-","-","-","-","7.0","170.0","93.0","77.0","94.0","50.0","44.0","2.0","46.0","23.0","23.0","40.0","18.0","22.0","5.0","124.0","70.0","54.0","54.0","32.0","22.0","1.0","29.0","9.0","20.0","2.0","-","2.0"
"　A 農業，林業_　01 農業__30～49人","10.0","389.0","260.0","129.0","180.0","107.0","73.0","-","-","-","-","-","-","-","9.0","359.0","253.0","106.0","180.0","107.0","73.0","5.0","205.0","104.0","101.0","141.0","72.0","69.0","4.0","154.0","149.0","5.0","39.0","35.0","4.0","1.0","30.0","7.0","23.0","-","-","-"
"　A 農業，林業_　01 農業__50～99人","1.0","60.0","31.0","29.0","57.0","28.0","29.0","-","-","-","-","-","-","-","1.0","60.0","31.0","29.0","57.0","28.0","29.0","1.0","60.0","31.0","29.0","57.0","28.0","29.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業__100人以上","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","1.0","121.0","34.0","87.0","120.0","33.0","87.0","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業__出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業__(再掲)5人以下","45.0","123.0","89.0","34.0","67.0","40.0","27.0","-","-","-","-","-","-","-","44.0","120.0","87.0","33.0","65.0","39.0","26.0","19.0","53.0","36.0","17.0","30.0","17.0","13.0","25.0","67.0","51.0","16.0","35.0","22.0","13.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0"
"　A 農業，林業_　01 農業__(再掲)20人以下","107.0","741.0","448.0","293.0","435.0","244.0","191.0","-","-","-","-","-","-","-","104.0","711.0","420.0","291.0","417.0","228.0","189.0","53.0","405.0","210.0","195.0","246.0","121.0","125.0","51.0","306.0","210.0","96.0","171.0","107.0","64.0","3.0","30.0","28.0","2.0","18.0","16.0","2.0"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所","2.0","9.0","4.0","5.0","3.0","-","3.0","-","-","-","-","-","-","-","2.0","9.0","4.0","5.0","3.0","-","3.0","2.0","9.0","4.0","5.0","3.0","-","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_1～4人","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","-","-","-","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_5～9人","1.0","7.0","3.0","4.0","3.0","-","3.0","-","-","-","-","-","-","-","1.0","7.0","3.0","4.0","3.0","-","3.0","1.0","7.0","3.0","4.0","3.0","-","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_10～19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_20～29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_(再掲)5人以下","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","1.0","2.0","1.0","1.0","-","-","-","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　010 管理，補助的経済活動を行う事業所_(再掲)20人以下","2.0","9.0","4.0","5.0","3.0","-","3.0","-","-","-","-","-","-","-","2.0","9.0","4.0","5.0","3.0","-","3.0","2.0","9.0","4.0","5.0","3.0","-","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業","55.0","847.0","352.0","495.0","516.0","199.0","317.0","-","-","-","-","-","-","-","53.0","788.0","336.0","452.0","514.0","199.0","315.0","42.0","664.0","291.0","373.0","474.0","185.0","289.0","11.0","124.0","45.0","79.0","40.0","14.0","26.0","2.0","59.0","16.0","43.0","2.0","-","2.0"
"　A 農業，林業_　01 農業_　011 耕種農業_1～4人","15.0","36.0","24.0","12.0","15.0","7.0","8.0","-","-","-","-","-","-","-","15.0","36.0","24.0","12.0","15.0","7.0","8.0","12.0","30.0","22.0","8.0","12.0","7.0","5.0","3.0","6.0","2.0","4.0","3.0","-","3.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_5～9人","14.0","100.0","38.0","62.0","54.0","22.0","32.0","-","-","-","-","-","-","-","14.0","100.0","38.0","62.0","54.0","22.0","32.0","10.0","71.0","29.0","42.0","38.0","16.0","22.0","4.0","29.0","9.0","20.0","16.0","6.0","10.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_10～19人","14.0","187.0","80.0","107.0","99.0","32.0","67.0","-","-","-","-","-","-","-","14.0","187.0","80.0","107.0","99.0","32.0","67.0","12.0","155.0","68.0","87.0","87.0","29.0","58.0","2.0","32.0","12.0","20.0","12.0","3.0","9.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_20～29人","4.0","108.0","34.0","74.0","30.0","5.0","25.0","-","-","-","-","-","-","-","3.0","79.0","25.0","54.0","28.0","5.0","23.0","1.0","22.0","3.0","19.0","19.0","-","19.0","2.0","57.0","22.0","35.0","9.0","5.0","4.0","1.0","29.0","9.0","20.0","2.0","-","2.0"
"　A 農業，林業_　01 農業_　011 耕種農業_30～49人","6.0","235.0","111.0","124.0","141.0","72.0","69.0","-","-","-","-","-","-","-","5.0","205.0","104.0","101.0","141.0","72.0","69.0","5.0","205.0","104.0","101.0","141.0","72.0","69.0","-","-","-","-","-","-","-","1.0","30.0","7.0","23.0","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_50～99人","1.0","60.0","31.0","29.0","57.0","28.0","29.0","-","-","-","-","-","-","-","1.0","60.0","31.0","29.0","57.0","28.0","29.0","1.0","60.0","31.0","29.0","57.0","28.0","29.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_100人以上","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","1.0","121.0","34.0","87.0","120.0","33.0","87.0","1.0","121.0","34.0","87.0","120.0","33.0","87.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_出向・派遣従業者のみ","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_(再掲)5人以下","17.0","46.0","31.0","15.0","23.0","12.0","11.0","-","-","-","-","-","-","-","17.0","46.0","31.0","15.0","23.0","12.0","11.0","14.0","40.0","29.0","11.0","20.0","12.0","8.0","3.0","6.0","2.0","4.0","3.0","-","3.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　011 耕種農業_(再掲)20人以下","43.0","323.0","142.0","181.0","168.0","61.0","107.0","-","-","-","-","-","-","-","43.0","323.0","142.0","181.0","168.0","61.0","107.0","34.0","256.0","119.0","137.0","137.0","52.0","85.0","9.0","67.0","23.0","44.0","31.0","9.0","22.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業","16.0","153.0","100.0","53.0","126.0","85.0","41.0","-","-","-","-","-","-","-","15.0","150.0","98.0","52.0","124.0","84.0","40.0","8.0","80.0","50.0","30.0","67.0","45.0","22.0","7.0","70.0","48.0","22.0","57.0","39.0","18.0","1.0","3.0","2.0","1.0","2.0","1.0","1.0"
"　A 農業，林業_　01 農業_　012 畜産農業_1～4人","4.0","10.0","7.0","3.0","7.0","4.0","3.0","-","-","-","-","-","-","-","3.0","7.0","5.0","2.0","5.0","3.0","2.0","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0","3.0","3.0","-","1.0","1.0","-","1.0","3.0","2.0","1.0","2.0","1.0","1.0"
"　A 農業，林業_　01 農業_　012 畜産農業_5～9人","6.0","42.0","32.0","10.0","31.0","26.0","5.0","-","-","-","-","-","-","-","6.0","42.0","32.0","10.0","31.0","26.0","5.0","3.0","20.0","14.0","6.0","17.0","13.0","4.0","3.0","22.0","18.0","4.0","14.0","13.0","1.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業_10～19人","3.0","32.0","14.0","18.0","25.0","12.0","13.0","-","-","-","-","-","-","-","3.0","32.0","14.0","18.0","25.0","12.0","13.0","3.0","32.0","14.0","18.0","25.0","12.0","13.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業_20～29人","3.0","69.0","47.0","22.0","63.0","43.0","20.0","-","-","-","-","-","-","-","3.0","69.0","47.0","22.0","63.0","43.0","20.0","1.0","24.0","20.0","4.0","21.0","18.0","3.0","2.0","45.0","27.0","18.0","42.0","25.0","17.0","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業_30～49人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業_50～99人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　A 農業，林業_　01 農業_　012 畜産農業_100人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
